delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,65,5,5,space,0.3799975000001723,None,7,1,[0.437483899993822],[0.43749369999568444],5,5,65,5,322.38904219999677,,322.3760117000056,322.38904219999677,323.3884090999927,323.3884090999927,323.3884090999927,323.7715931999992,space,0.3799975000001723,None,323.77239779999945,324.47104826665986,324.78505310000037,324.7694712999946,324.7700802000036,324.78505310000037,324.78505310000037,324.78505310000037,325.2228447999951,7,1,[0.437483899993822],[0.43749369999568444],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,66,6,5,space,0.3570454000000609,None,4,1,[0.8372394000034546],[0.8372493999922881],5,6,66,6,325.2368703999964,,325.22306709999975,325.2368703999964,326.2364008000004,326.2364008000004,326.2364008000004,326.6024306000036,space,0.3570454000000609,None,326.6031385999959,326.70218826666337,327.015041000006,327.00087540000095,327.00178769999184,327.015041000006,327.015041000006,327.015041000006,327.852610300004,4,1,[0.8372394000034546],[0.8372493999922881],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,67,7,5,space,0.2887815000140108,None,8,1,[0.5092366000026232],[0.5092525000072783],5,7,67,7,327.86755500000436,,327.85288469999796,327.86755500000436,328.86729369999375,328.86729369999375,328.86729369999375,329.16757590000634,space,0.2887815000140108,None,329.16852029999427,329.58321336665927,329.89298429999326,329.88016719999723,329.8830917000014,329.89298429999326,329.89298429999326,329.89298429999326,330.4026104999939,8,1,[0.5092366000026232],[0.5092525000072783],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,68,8,5,space,0.30578609999793116,None,3,1,[0.6863693000050262],[0.6863784000015585],5,8,68,8,330.41575820000435,,330.4029239999945,330.41575820000435,331.41506889999437,331.41506889999437,331.41506889999437,331.73221000000194,space,0.30578609999793116,None,331.73323759999766,332.44746526667245,332.7607721999957,332.7475737000059,332.7482370999933,332.7607721999957,332.7607721999957,332.7607721999957,333.4474207000021,3,1,[0.6863693000050262],[0.6863784000015585],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,69,9,5,space,0.2836059999972349,None,2,1,[1.6984733999997843],[1.6984949999896344],5,9,69,9,333.46333250000316,,333.44765099999495,333.46333250000316,334.4626189999981,334.4626189999981,334.4626189999981,334.76306349999504,space,0.2836059999972349,None,334.76429789999384,334.86238646666266,335.16458379999676,335.15718259999994,335.15766260000237,335.16458379999676,335.16458379999676,335.16458379999676,336.8635929000011,2,1,[1.6984733999997843],[1.6984949999896344],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,70,10,5,space,0.24206879999837838,None,4,1,[1.1234222999919439],[1.1234300999931293],5,10,70,10,336.8769944999949,,336.8640546999959,336.8769944999949,337.87653310000314,337.87653310000314,337.87653310000314,338.12645909999264,space,0.24206879999837838,None,338.1271485000034,338.52584756666715,338.8350006999972,338.82158730000083,338.8221893000009,338.8350006999972,338.8350006999972,338.8350006999972,339.9588600999996,4,1,[1.1234222999919439],[1.1234300999931293],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,71,11,5,space,0.307365699991351,None,8,1,[1.0720086000073934],[1.0720221999945352],5,11,71,11,339.97443309999653,,339.9591287999938,339.97443309999653,340.97389079999994,340.97389079999994,340.97389079999994,341.29081209999276,space,0.307365699991351,None,341.2918409999984,342.0059751666597,342.31789219999337,342.3008425000007,342.3014170999959,342.31789219999337,342.31789219999337,342.31789219999337,343.3903147999954,8,1,[1.0720086000073934],[1.0720221999945352],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,400,unexp,72,0,6,space,0.5899795000004815,None,2,1,[1.3756396999960998],[1.3756515999994008],6,0,72,0,343.40484049999213,,343.3906583000062,343.40484049999213,344.4044078000006,344.4044078000006,344.4044078000006,345.004975799995,space,0.5899795000004815,None,345.00609929999337,345.1205842666716,345.4284625,345.42061839999224,345.42179029999534,345.4284625,345.4284625,345.4284625,346.8044533999928,2,1,[1.3756396999960998],[1.3756515999994008],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,400,unexp,73,1,6,space,0.4878817999997409,None,2,1,[1.0617350000102306],[1.0617500000080327],6,1,73,1,346.81870340000023,,346.80475149999256,346.81870340000023,347.8181581999961,347.8181581999961,347.8181581999961,348.31787549999717,space,0.4878817999997409,None,348.3183791000047,348.7173557666722,349.02527030000056,349.01104840000335,349.01166580000427,349.02527030000056,349.02527030000056,349.02527030000056,350.0874793999974,2,1,[1.0617350000102306],[1.0617500000080327],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,400,unexp,74,2,6,space,1.142725400000927,None,9,1,[1.1191130000079283],[1.1191236000013305],6,2,74,2,350.0994243000023,,350.0877904999943,350.0994243000023,351.0986058999988,351.0986058999988,351.0986058999988,352.2480026999983,space,1.142725400000927,None,352.2486329999956,352.94726416666913,353.26321689999895,353.24495659999957,353.24591959999816,353.26321689999895,353.26321689999895,353.26321689999895,354.38265830000455,9,1,[1.1191130000079283],[1.1191236000013305],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,75,3,6,space,0.3656243000004906,None,2,1,[3.841346799992607],[3.8413580999913393],6,3,75,3,354.3957958999963,,354.382964000004,354.3957958999963,355.39500509999925,355.39500509999925,355.39500509999925,355.76165949999995,space,0.3656243000004906,None,355.7621836000035,355.8610578666596,356.1671420000057,356.16086829999404,356.16122599999653,356.1671420000057,356.1671420000057,356.1671420000057,360.0088128000061,2,1,[3.841346799992607],[3.8413580999913393],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,76,4,6,space,1.0706149999896297,None,2,1,[1.5567185999971116],[1.5567325999872992],6,4,76,4,360.0247845999984,,360.00909999999567,360.0247845999984,361.0239811999927,361.0239811999927,361.0239811999927,362.10727710000356,space,1.0706149999896297,None,362.10837770000217,362.52279476666104,362.83262000000104,362.8188117999962,362.8194783999934,362.83262000000104,362.83262000000104,362.83262000000104,364.389769100002,2,1,[1.5567185999971116],[1.5567325999872992],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,77,5,6,space,0.294219699993846,None,7,1,[1.09183760000451],[1.0918468000018038],6,5,77,5,364.4045327000058,,364.39008569999714,364.4045327000058,365.40348079999967,365.40348079999967,365.42005279999285,365.70433979999507,space,0.294219699993846,None,365.7054305000056,366.4196560666644,366.7267770000035,366.7166619000054,366.7171466,366.7267770000035,366.7267770000035,366.7267770000035,367.818861199994,7,1,[1.09183760000451],[1.0918468000018038],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,78,6,6,space,0.32722069999726955,None,3,1,[1.5431054000073345],[1.5431249999965075],6,6,78,6,367.83483209999395,,367.8190551000007,367.83483209999395,368.8344885999977,368.8344885999977,368.8344885999977,369.16774930000247,space,0.32722069999726955,None,369.1684993999952,369.26713866666637,369.57641959999455,369.56046340000466,369.561077499995,369.57641959999455,369.57641959999455,369.57641959999455,371.12004189999425,3,1,[1.5431054000073345],[1.5431249999965075],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,79,7,6,space,0.6232716999948025,None,2,1,[1.1068278000020655],[1.1068413000029977],6,7,79,7,371.13236030000553,,371.12044149999565,371.13236030000553,372.13157379999757,372.13157379999757,372.13157379999757,372.76447870000266,space,0.6232716999948025,None,372.76541229999566,373.16372076666835,373.4744075000053,373.4629577000014,373.4635214000009,373.4744075000053,373.4744075000053,373.4744075000053,374.5817793000024,2,1,[1.1068278000020655],[1.1068413000029977],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
